J011242.10+010839.2 \; 01:12:42.10 \; +01:08:39.2 \; 20.88 \; 0.54 \; 2000\\ 
J015911.34+000635.1 \; 01:59:11.34 \; +00:06:35.1 \; 20.71 \; 0.52 \; 1600\\ 
J142049.60+052627.5 \; 14:20:49.60 \; +05:26:27.5 \; 20.44 \; 0.48 \; 1100\\ 
J102153.20+001743.3 \; 10:21:53.20 \; +00:17:43.3 \; 20.26 \; 0.58 \; 900\\ 
J092000.86+192200.2 \; 09:20:00.86 \; +19:22:00.2 \; 21.71 \; 0.59 \; 7000\\ 
J133524.55+012438.1 \; 13:35:24.55 \; +01:24:38.1 \; 19.84 \; 0.83 \; 600\\ 
J115759.03+230729.6 \; 11:57:59.03 \; +23:07:29.6 \; 19.77 \; 0.83 \; 500\\ 
J135256.55+024851.4 \; 13:52:56.55 \; +02:48:51.4 \; 19.59 \; 0.75 \; 400\\ 
J022956.39+011044.6 \; 02:29:56.39 \; +01:10:44.6 \; 19.51 \; 0.91 \; 400\\ 
J130300.82+032357.1 \; 13:03:00.82 \; +03:23:57.1 \; 21.3 \; 0.84 \; 4000\\ 
J141452.03+140733.1 \; 14:14:52.03 \; +14:07:33.1 \; 20.21 \; 0.57 \; 850\\ 
J132056.14+013013.2 \; 13:20:56.14 \; +01:30:13.2 \; 20.29 \; 0.57 \; 900\\ 
J100759.89+303215.8 \; 10:07:59.89 \; +30:32:15.8 \; 21.26 \; 0.5 \; 3500\\ 
J092032.19+070426.6 \; 09:20:32.19 \; +07:04:26.6 \; 21.75 \; 0.56 \; 8000\\ 
J093132.07+004058.5 \; 09:31:32.07 \; +00:40:58.5 \; 21.56 \; 0.46 \; 5500\\ 
J092256.93+012602.4 \; 09:22:56.93 \; +01:26:02.4 \; 19.38 \; 0.85 \; 350\\ 
J133706.47+002204.7 \; 13:37:06.47 \; +00:22:04.7 \; 21.33 \; 0.78 \; 4000\\ 
J024141.34+010736.6 \; 02:41:41.34 \; +01:07:36.6 \; 21.85 \; 0.72 \; 8500\\ 
J104112.96+060739.9 \; 10:41:12.96 \; +06:07:39.9 \; 20.81 \; 0.77 \; 2000\\ 
J023153.52+011234.2 \; 02:31:53.52 \; +01:12:34.2 \; 20.51 \; 0.75 \; 1300\\ 
J105231.11+071329.6 \; 10:52:31.11 \; +07:13:29.6 \; 20.38 \; 0.56 \; 1100\\ 
J131936.84+030157.3 \; 13:19:36.84 \; +03:01:57.3 \; 19.71 \; 0.57 \; 450\\ 
J101117.86+002632.6 \; 10:11:17.86 \; +00:26:32.6 \; 21.25 \; 0.48 \; 3500\\ 
J133558.58+014348.2 \; 13:35:58.58 \; +01:43:48.2 \; 21.66 \; 0.57 \; 6500\\ 
J102542.13+004546.8 \; 10:25:42.13 \; +00:45:46.8 \; 20.27 \; 0.53 \; 900\\ 
J023240.17+001536.2 \; 02:32:40.17 \; +00:15:36.2 \; 19.25 \; 0.82 \; 300\\ 
J121209.56+174525.3 \; 12:12:09.56 \; +17:45:25.3 \; 18.81 \; 0.74 \; 200\\ 
J021704.77+011439.0 \; 02:17:04.77 \; +01:14:39.0 \; 19.02 \; 0.82 \; 250\\ 
J125113.09+045134.9 \; 12:51:13.09 \; +04:51:34.9 \; 19.82 \; 0.81 \; 550\\ 
J140312.79+085344.1 \; 14:03:12.79 \; +08:53:44.1 \; 19.45 \; 0.77 \; 350\\ 
